ecode,ename,department,designation,basic,da,increment,salary
1098,Ram,training,AD,69010,31744.6,0,97820
1078,Kapil,development,DD,78692,36198.32,0,111544
1057,Satish,admin,JD,91979,42310.34,0,130378
1090,Kavita,development,AD,69319,31886.74,0,98258
1023,Suresh,training,DD,78898,36293.08,0,111836
1067,Manoj,development,JD,92288,42452.48,0,130816
1045,Mukesh,admin,DD,79104,36387.84,0,112128
1048,Anand,training,JD,91876,42262.96,0,130232
1042,Manish,admin,AD,69525,31981.5,0,98550
1087,Chandan,development,AD,69731,32076.26,0,98842
